Loyalty Number,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Avg_Points_Per_Flight,CLV
100018,1,46,81190.0,5,5,5,555,Champion,1765.0,81190.0
100102,1,51,68918.0,5,5,5,555,Champion,1351.3333333333333,68918.0
100140,1,47,72856.0,5,5,5,555,Champion,1550.127659574468,72856.0
100214,1,22,38236.0,5,2,2,522,Loyal,1738.0,38236.0
100272,1,37,54997.0,5,3,3,533,Loyal,1486.4054054054054,54997.0
100301,1,41,62849.0,5,4,4,544,Loyal,1532.9024390243903,62849.0
100364,1,33,45955.0,5,3,3,533,Loyal,1392.5757575757575,45955.0
100380,1,33,55270.0,5,3,4,534,Loyal,1674.8484848484848,55270.0
100428,1,35,58281.0,5,3,4,534,Loyal,1665.1714285714286,58281.0
100504,1,19,27837.0,5,2,2,522,Loyal,1465.1052631578948,27837.0
100550,1,42,51687.0,5,4,3,543,Loyal,1230.642857142857,51687.0
100585,1,41,68112.0,5,4,5,545,Loyal,1661.2682926829268,68112.0
100590,1,28,46422.0,5,2,3,523,Loyal,1657.9285714285713,46422.0
100642,1,36,53386.0,5,3,3,533,Loyal,1482.9444444444443,53386.0
100644,1,29,45939.0,5,2,3,523,Loyal,1584.103448275862,45939.0
100646,1,30,41715.0,5,2,2,522,Loyal,1390.5,41715.0
100727,1,48,75593.0,5,5,5,555,Champion,1574.8541666666667,75593.0
100737,1,47,66830.0,5,5,4,554,Loyal,1421.9148936170213,66830.0
100753,1,51,64171.0,5,5,4,554,Loyal,1258.2549019607843,64171.0
100816,1,31,47653.0,5,3,3,533,Loyal,1537.1935483870968,47653.0
100853,1,39,47403.0,5,4,3,543,Loyal,1215.4615384615386,47403.00000000001
100883,1,34,53659.0,5,3,3,533,Loyal,1578.2058823529412,53659.0
100890,1,27,39394.0,5,2,2,522,Loyal,1459.037037037037,39394.0
101018,1,41,71919.0,5,4,5,545,Loyal,1754.121951219512,71919.0
101148,1,30,47570.0,5,2,3,523,Loyal,1585.6666666666667,47570.0
101363,1,31,50697.0,5,3,3,533,Loyal,1635.3870967741937,50697.0
101487,1,56,72589.0,5,5,5,555,Champion,1296.232142857143,72589.0
101515,1,29,50433.0,5,2,3,523,Loyal,1739.0689655172414,50433.0
101540,1,30,49094.0,5,2,3,523,Loyal,1636.4666666666667,49094.0
101544,1,40,61432.0,5,4,4,544,Loyal,1535.8,61432.0
101547,1,17,32918.0,5,2,2,522,Loyal,1936.3529411764705,32918.0
101581,1,36,49542.0,5,3,3,533,Loyal,1376.1666666666667,49542.0
101594,1,43,58229.0,5,4,4,544,Loyal,1354.1627906976744,58229.0
101644,1,2,2974.0,5,1,1,511,Loyal,1487.0,2974.0
101663,1,41,60109.0,5,4,4,544,Loyal,1466.0731707317073,60109.0
101664,1,29,40987.0,5,2,2,522,Loyal,1413.344827586207,40987.0
101709,1,38,59596.0,5,4,4,544,Loyal,1568.3157894736842,59596.0
101768,1,1,1733.0,5,1,1,511,Loyal,1733.0,1733.0
101876,1,12,18264.0,5,1,1,511,Loyal,1522.0,18264.0
101895,1,27,47305.0,5,2,3,523,Loyal,1752.037037037037,47305.0
101902,1,77,131909.0,5,5,5,555,Champion,1713.1038961038962,131909.0
101945,1,39,63004.0,5,4,4,544,Loyal,1615.4871794871794,63004.0
102168,1,25,40495.0,5,2,2,522,Loyal,1619.8,40495.0
102184,1,45,69058.0,5,5,5,555,Champion,1534.6222222222223,69058.0
102207,1,25,37889.0,5,2,2,522,Loyal,1515.56,37889.0
102299,1,48,59570.0,5,5,4,554,Loyal,1241.0416666666667,59570.0
102311,1,51,83581.0,5,5,5,555,Champion,1638.8431372549019,83581.0
102376,1,73,119370.0,5,5,5,555,Champion,1635.2054794520548,119370.0
102464,1,14,17067.0,5,1,1,511,Loyal,1219.0714285714287,17067.0
102615,1,2,4556.0,5,1,1,511,Loyal,2278.0,4556.0
102726,1,21,25020.0,5,2,2,522,Loyal,1191.4285714285713,25019.999999999996
102730,1,27,41890.0,5,2,2,522,Loyal,1551.4814814814815,41890.0
102740,1,5,8927.0,5,1,1,511,Loyal,1785.4,8927.0
102788,1,84,203485.5,5,5,5,555,Champion,2422.4464285714284,203485.5
102851,1,39,53975.0,5,4,3,543,Loyal,1383.974358974359,53975.0
102877,1,45,75358.0,5,5,5,555,Champion,1674.6222222222223,75358.0
102982,1,29,34835.0,5,2,2,522,Loyal,1201.2068965517242,34835.0
103043,1,43,66356.0,5,4,4,544,Loyal,1543.1627906976744,66356.0
103151,1,31,52486.0,5,3,3,533,Loyal,1693.0967741935483,52486.0
103217,1,36,56399.0,5,3,4,534,Loyal,1566.638888888889,56399.0
103304,1,37,62563.0,5,3,4,534,Loyal,1690.8918918918919,62563.0
103340,1,44,62122.0,5,4,4,544,Loyal,1411.8636363636363,62121.99999999999
103359,1,53,82249.0,5,5,5,555,Champion,1551.867924528302,82249.0
103362,1,3,4485.0,5,1,1,511,Loyal,1495.0,4485.0
103436,1,49,86455.0,5,5,5,555,Champion,1764.3877551020407,86455.0
103490,1,45,74308.0,5,5,5,555,Champion,1651.2888888888888,74308.0
103502,1,18,30244.0,5,2,2,522,Loyal,1680.2222222222222,30244.0
103536,1,59,80954.0,5,5,5,555,Champion,1372.1016949152543,80954.0
103699,1,24,36719.0,5,2,2,522,Loyal,1529.9583333333333,36719.0
103731,1,33,53860.0,5,3,3,533,Loyal,1632.121212121212,53860.0
103758,1,18,27295.0,5,2,2,522,Loyal,1516.388888888889,27295.0
103823,1,42,57809.0,5,4,4,544,Loyal,1376.404761904762,57809.0
103860,1,40,65428.0,5,4,4,544,Loyal,1635.7,65428.0
103862,1,37,69191.0,5,3,5,535,Loyal,1870.027027027027,69191.0
103916,1,36,54436.0,5,3,3,533,Loyal,1512.111111111111,54436.0
103969,1,33,46744.0,5,3,3,533,Loyal,1416.4848484848485,46744.0
103970,1,45,56234.0,5,5,4,554,Loyal,1249.6444444444444,56234.0
103975,1,15,18061.0,5,2,1,521,Loyal,1204.0666666666666,18061.0
103985,1,4,6269.0,5,1,1,511,Loyal,1567.25,6269.0
104103,1,32,40470.0,5,3,2,532,Loyal,1264.6875,40470.0
104267,1,38,92409.0,5,4,5,545,Loyal,2431.815789473684,92409.0
104353,1,42,73980.0,5,4,5,545,Loyal,1761.4285714285713,73980.0
104431,1,43,77644.0,5,4,5,545,Loyal,1805.6744186046512,77644.0
104541,1,34,40283.0,5,3,2,532,Loyal,1184.7941176470588,40283.0
104586,1,40,65640.0,5,4,4,544,Loyal,1641.0,65640.0
104673,1,48,64770.0,5,5,4,554,Loyal,1349.375,64770.0
